category,subcategory,year,nwoundus,nkilledter,nwoundedter,nattacks
Region,Australasia & Oceania,1970,0,0,0,1
Region,Australasia & Oceania,1971,0,0,0,1
Region,Australasia & Oceania,1972,0,0,0,8
Region,Australasia & Oceania,1973,0,0,0,1
Region,Australasia & Oceania,1974,0,0,0,1
Region,Australasia & Oceania,1978,0,0,0,2
Region,Australasia & Oceania,1979,0,0,0,2
Region,Australasia & Oceania,1980,0,0,0,7
Region,Australasia & Oceania,1981,0,0,0,3
Region,Australasia & Oceania,1982,0,0,0,2
Region,Australasia & Oceania,1984,0,0,0,11
Region,Australasia & Oceania,1985,0,0,0,7
Region,Australasia & Oceania,1986,0,1,0,4
Region,Australasia & Oceania,1987,0,0,0,3
Region,Australasia & Oceania,1988,0,0,0,12
Region,Australasia & Oceania,1989,0,0,0,29
Region,Australasia & Oceania,1990,0,0,0,18
Region,Australasia & Oceania,1991,0,0,0,10
Region,Australasia & Oceania,1992,0,0,0,17
Region,Australasia & Oceania,1994,0,0,0,14
Region,Australasia & Oceania,1995,0,3,1,18
Region,Australasia & Oceania,1996,0,0,0,19
Region,Australasia & Oceania,1997,0,0,0,7
Region,Australasia & Oceania,1998,0,0,0,6
Region,Australasia & Oceania,1999,0,0,0,4
Region,Australasia & Oceania,2000,0,5,5,6
Region,Australasia & Oceania,2001,0,0,0,4
Region,Australasia & Oceania,2002,0,0,0,2
Region,Australasia & Oceania,2003,0,0,0,4
Region,Australasia & Oceania,2006,0,0,0,2
Region,Australasia & Oceania,2007,0,0,0,1
Region,Australasia & Oceania,2008,0,0,0,8
Region,Australasia & Oceania,2009,0,0,0,1
Region,Australasia & Oceania,2010,0,0,0,1
Region,Australasia & Oceania,2013,0,0,0,1
Region,Australasia & Oceania,2014,0,2,0,9
Region,Australasia & Oceania,2015,0,1,0,14
Region,Australasia & Oceania,2016,0,0,0,10
Region,Australasia & Oceania,2017,0,1,1,12
Region,Central America & Caribbean,1970,0,0,0,7
Region,Central America & Caribbean,1971,0,0,0,5
Region,Central America & Caribbean,1972,0,0,0,3
Region,Central America & Caribbean,1973,0,0,0,6
Region,Central America & Caribbean,1974,0,0,0,11
Region,Central America & Caribbean,1975,0,0,0,9
Region,Central America & Caribbean,1976,0,0,0,45
Region,Central America & Caribbean,1977,0,0,0,24
Region,Central America & Caribbean,1978,0,16,5,199
Region,Central America & Caribbean,1979,2,57,1,609
Region,Central America & Caribbean,1980,0,35,4,1070
Region,Central America & Caribbean,1981,6,15,6,1148
Region,Central America & Caribbean,1982,0,19,1,996
Region,Central America & Caribbean,1983,0,11,0,858
Region,Central America & Caribbean,1984,0,63,0,681
Region,Central America & Caribbean,1985,0,15,0,780
Region,Central America & Caribbean,1986,0,0,0,393
Region,Central America & Caribbean,1987,6,4,0,566
Region,Central America & Caribbean,1988,7,0,0,495
Region,Central America & Caribbean,1989,14,1,1,503
Region,Central America & Caribbean,1990,32,0,0,316
Region,Central America & Caribbean,1991,3,1,0,729
Region,Central America & Caribbean,1992,3,1,0,212
Region,Central America & Caribbean,1994,4,2,1,180
Region,Central America & Caribbean,1995,3,0,0,168
Region,Central America & Caribbean,1996,0,0,0,116
Region,Central America & Caribbean,1997,7,0,0,117
Region,Central America & Caribbean,1998,0,0,0,1
Region,Central America & Caribbean,1999,0,0,1,8
Region,Central America & Caribbean,2000,0,0,0,14
Region,Central America & Caribbean,2001,0,0,0,8
Region,Central America & Caribbean,2002,0,0,0,3
Region,Central America & Caribbean,2003,0,0,0,8
Region,Central America & Caribbean,2004,0,0,0,5
Region,Central America & Caribbean,2005,0,0,0,3
Region,Central America & Caribbean,2006,0,0,0,5
Region,Central America & Caribbean,2007,0,0,0,4
Region,Central America & Caribbean,2009,0,0,0,9
Region,Central America & Caribbean,2010,0,0,0,1
Region,Central America & Caribbean,2011,0,0,0,1
Region,Central America & Caribbean,2012,0,0,0,1
Region,Central America & Caribbean,2013,0,0,0,14
Region,Central America & Caribbean,2014,0,0,1,5
Region,Central America & Caribbean,2015,0,0,0,1
Region,Central America & Caribbean,2016,0,6,0,3
Region,Central America & Caribbean,2017,0,0,0,4
Region,Central Asia,1991,0,0,0,7
Region,Central Asia,1992,0,0,0,77
Region,Central Asia,1994,0,0,0,65
Region,Central Asia,1995,0,0,0,55
Region,Central Asia,1996,0,0,0,33
Region,Central Asia,1997,0,0,0,49
Region,Central Asia,1998,0,0,0,25
Region,Central Asia,1999,0,4,1,24
Region,Central Asia,2000,0,0,1,21
Region,Central Asia,2001,0,2,1,18
Region,Central Asia,2002,0,0,0,6
Region,Central Asia,2003,0,0,0,7
Region,Central Asia,2004,0,25,0,8
Region,Central Asia,2005,0,5,0,11
Region,Central Asia,2006,0,0,0,6
Region,Central Asia,2007,0,0,0,4
Region,Central Asia,2008,0,0,0,36
Region,Central Asia,2009,0,1,0,31
Region,Central Asia,2010,0,2,0,9
Region,Central Asia,2011,0,3,0,9
Region,Central Asia,2012,0,0,0,12
Region,Central Asia,2013,0,0,0,7
Region,Central Asia,2014,0,1,2,9
Region,Central Asia,2015,0,2,3,10
Region,Central Asia,2016,0,10,1,17
Region,Central Asia,2017,0,0,0,7
Region,East Asia,1970,0,0,0,2
Region,East Asia,1971,0,0,0,1
Region,East Asia,1973,0,0,0,2
Region,East Asia,1974,0,0,0,4
Region,East Asia,1975,0,0,0,12
Region,East Asia,1976,0,0,0,2
Region,East Asia,1977,0,0,0,4
Region,East Asia,1978,0,0,0,35
Region,East Asia,1979,0,0,0,16
Region,East Asia,1980,0,0,0,1
Region,East Asia,1981,0,0,0,4
Region,East Asia,1982,0,0,0,3
Region,East Asia,1983,0,0,0,13
Region,East Asia,1984,0,0,0,15
Region,East Asia,1985,0,0,0,10
Region,East Asia,1986,0,0,0,12
Region,East Asia,1987,0,0,0,10
Region,East Asia,1988,0,0,0,24
Region,East Asia,1989,0,0,0,18
Region,East Asia,1990,0,0,0,99
Region,East Asia,1991,0,0,0,29
Region,East Asia,1992,0,0,0,74
Region,East Asia,1994,0,0,0,34
Region,East Asia,1995,3,0,0,38
Region,East Asia,1996,0,1,0,89
Region,East Asia,1997,0,0,0,40
